Ticker,P/E,P/B,PEG,P/FCF,Sales Growth %,Operating Income Growth %,Current Ratio,Operating Margin %,Return on Assets %,Gross Margin %,Debt/Equity,Interest Coverage Ratio
AAPL,24.99,17.54,2.05,20.70952638213578,5.583042744139943,2.2421161498405784,1.5,24.48,12.38,36.71542652436749,1.1940478295464592,20.382535736482286
AXP,15.27,3.88,4.65,66.03727714748784,5.0906233606544005,-3.8374529293358717,1.8,18.55,2.91,71.66841552990556,2.786051753283343,
BA,,,-4.05,-7.385329131652661,-7.063832476735055,,1.17,-6.79,-2.27,6.746987951807229,-3.168388070094,-7.304297328687572
CAT,12.94,4.67,-7.59,15.586920724535403,7.240061033099665,61.778914769134396,1.42,14.77,6.09,28.36962919364332,2.5813682478749658,17.37122969837587
CSCO,18.22,5.43,2.59,13.115706947823735,0.6674407993785936,2.8339953196640844,1.59,28.62,9.59,64.60351987344275,0.7347412945697179,21.577611940298507
CVX,45.69,1.22,-23.91,13.822439485926044,5.275970372066552,,1.01,7.25,2.49,44.13502733047718,0.1870358428158349,-0.7659863945578231
DIS,40.93,2.4,14.71,442.5806451612903,7.799054804113048,-5.866106862221942,0.94,11.91,2.77,35.2256744661808,0.5286632087041642,7.802076124567474
DOW,,2.28,-22.51,7.612287041817243,-3.5055777073188077,-5.811496075672206,1.63,8.84,,15.25748502994012,1.4146665682002806,3.7199558985667034
GS,11.35,0.93,2.43,11.923267736067471,4.157266677647398,-2.761775616402806,1.71,30.54,0.74,89.51008645533142,3.5038956768106044,
HD,24.13,,3.11,21.59730125182897,4.336972746760881,3.6912649482850446,1.08,14.37,20.79,34.0863727091272,-11.995186136071887,12.548100242522231
IBM,12.43,5.57,2.77,9.699791159067177,-1.0757943917157675,-8.943240687282595,0.96,12.78,4.3,47.674418604651166,3.270380499976009,6.211643835616439
INTC,12.32,3.52,1.33,14.799274087109547,6.266654875137911,14.595462194207132,1.74,33.61,11.48,55.64505479994718,0.3734402966816467,52.37448559670782
JNJ,22.61,6.22,4.0,19.327059299736895,3.573182914735251,0.3781940336899714,1.31,26.06,8.83,65.99782424755229,0.4657059743404348,89.15767634854772
JPM,11.39,1.34,3.94,-9.126041482006736,4.652891129191361,1.3423155241926388,,36.09,1.02,107.48193006446571,1.4185467937201552,
KO,20.14,11.05,13.04,24.339073490177057,-2.92680677048357,4.982578430120355,0.87,28.69,7.31,60.9362389023406,2.2529371476739897,11.720357941834452
MCD,24.57,,9.55,26.40260280709719,-4.167679511429389,2.3618668166698775,1.89,41.37,11.07,53.5387578237843,-5.792236580880114,7.6126972867529705
MMM,18.56,8.96,13.03,16.259159964253797,1.8093760166947304,-2.2557169968622004,1.65,21.95,10.4,47.60432766615147,2.1144787836629235,14.117773019271949
MRK,19.66,7.47,2.14,21.877724376886107,4.8343268047513765,20.73740903665664,1.12,32.73,11.76,70.04991680532446,1.016945227158683,14.301339285714286
MSFT,30.29,12.05,2.02,31.825100318251003,12.916035287422778,24.984714461156553,2.9,37.46,11.84,59.79091564527758,0.7658164761067136,20.185314685314687
NKE,36.87,17.17,3.35,45.329830706363104,5.315926512903801,3.5693062732724545,1.9,12.55,13.18,42.33099103464987,0.38484513274336285,
PFE,13.37,3.19,,17.989092797783933,-1.0402760164548441,-0.18441335758799804,1.02,29.36,5.78,82.39242005527043,0.8261255267243292,8.502183406113538
PG,61.36,6.32,3.13,20.85583253199201,1.8786588772527812,3.422985147646229,0.82,22.8,8.35,47.533759772565745,0.6504128301560541,36.701670644391406
RTX,,,2.23,18.71224754493237,7.655540075675571,1.6591782716323111,1.23,13.17,4.57,26.284302249967485,1.10920668358309,5.065583284968079
TRV,11.54,1.07,28.67,5.200231035810551,3.5959190742538505,-8.099500478631516,0.39,10.15,1.86,24.67001885606537,0.2527849516247157,8.50294117647059
UNH,21.26,5.05,1.41,17.789922193404966,7.3553116320701495,10.438864632383282,0.71,8.06,7.08,23.388963332927275,0.7060191613440711,10.340608845491097
V,34.73,14.14,2.8,35.56049672763886,12.18029488495478,13.080345251850488,1.25,66.98,14.02,93.17706153202177,0.5724796386284307,
VZ,12.45,3.79,6.28,13.008551881413911,1.0490228636437227,2.0439101565938866,0.99,23.91,6.79,58.72858774267225,2.1686293672123136,6.442687747035573
WBA,11.05,1.59,3.77,7.153159992408427,4.268068954855764,-8.154171705691194,0.66,2.98,3.22,21.68709444844989,0.7160598843143926,
WMT,23.6,4.65,4.27,18.804247710895595,2.420981908686337,-2.1752498489891803,0.8,4.1,5.89,24.68890755019467,0.9700545072252207,8.279189833200952
XOM,17.35,1.07,-18.18,76.86444007858546,3.3152137040976637,76.83649705655517,0.78,3.48,1.52,30.975227847593047,0.24482128880772241,10.192650334075724
