AAPL,Apple Inc.,Technology,Consumer Electronics,http://www.apple.com
AXP,American Express Company,Financial Services,Credit Services,http://www.americanexpress.com
BA,The Boeing Company,Industrials,Aerospace & Defense,http://www.boeing.com
CAT,Caterpillar Inc.,Industrials,Farm & Heavy Construction Machinery,http://www.caterpillar.com
CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,http://www.cisco.com
CVX,Chevron Corporation,Energy,Oil & Gas Integrated,http://www.chevron.com
DIS,The Walt Disney Company,Communication Services,Entertainment,http://www.thewaltdisneycompany.com
DOW,Dow Inc.,Basic Materials,Chemicals,http://www.dow.com
GS,"The Goldman Sachs Group, Inc.",Financial Services,Capital Markets,http://www.goldmansachs.com
HD,"The Home Depot, Inc.",Consumer Cyclical,Home Improvement Retail,http://www.homedepot.com
IBM,International Business Machines Corporation,Technology,Information Technology Services,http://www.ibm.com
INTC,Intel Corporation,Technology,Semiconductors,http://www.intel.com
JNJ,Johnson & Johnson,Healthcare,Drug Manufacturers—General,http://www.jnj.com
JPM,JPMorgan Chase & Co.,Financial Services,Banks—Diversified,http://www.jpmorganchase.com
KO,The Coca-Cola Company,Consumer Defensive,Beverages—Non-Alcoholic,http://www.coca-colacompany.com
MCD,McDonald's Corporation,Consumer Cyclical,Restaurants,http://corporate.mcdonalds.com
MMM,3M Company,Industrials,Specialty Industrial Machinery,http://www.3m.com
MRK,"Merck & Co., Inc.",Healthcare,Drug Manufacturers—General,http://www.merck.com
MSFT,Microsoft Corporation,Technology,Software—Infrastructure,http://www.microsoft.com
NKE,"NIKE, Inc.",Consumer Cyclical,Footwear & Accessories,http://www.nike.com
PFE,Pfizer Inc.,Healthcare,Drug Manufacturers—General,http://www.pfizer.com
PG,The Procter & Gamble Company,Consumer Defensive,Household & Personal Products,http://www.pginvestor.com
RTX,Raytheon Technologies Corporation,Industrials,Aerospace & Defense,http://www.rtx.com
TRV,"The Travelers Companies, Inc.",Financial Services,Insurance—Property & Casualty,http://www.travelers.com
UNH,UnitedHealth Group Incorporated,Healthcare,Healthcare Plans,http://www.unitedhealthgroup.com
V,Visa Inc.,Financial Services,Credit Services,http://usa.visa.com
VZ,Verizon Communications Inc.,Communication Services,Telecom Services,http://www.verizon.com
WBA,"Walgreens Boots Alliance, Inc.",Healthcare,Pharmaceutical Retailers,http://www.walgreensbootsalliance.com
WMT,Walmart Inc.,Consumer Defensive,Discount Stores,http://www.stock.walmart.com
XOM,Exxon Mobil Corporation,Energy,Oil & Gas Integrated,http://corporate.exxonmobil.com
